overall,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_reflexes
87,75,82,86,86,69,84.0,76,75,84,87,78,83,76,88,71,85,79,88,88,86,81,86,85,84,60,82,85,77,13,8,15,9
87,82,85,59,87,88,90.0,90,88,79,93,88,80,92,80,94,84,75,70,61,89,43,42,82,91,84,79,41,39,5,4,4,8
87,88,55,67,82,32,81.0,82,71,76,83,83,85,78,85,74,76,62,95,65,65,85,83,77,80,55,83,84,81,11,8,10,14
87,78,72,72,91,70,88.0,84,64,87,89,80,82,88,88,79,68,76,90,74,66,75,82,77,86,45,90,76,77,7,13,10,9
87,92,60,69,86,62,80.0,87,85,90,86,77,80,73,82,73,82,66,88,63,75,74,82,77,87,55,81,83,79,14,15,14,7
87,82,83,38,87,83,91.0,84,65,70,90,85,78,91,85,90,73,51,77,68,65,44,39,83,87,62,86,39,32,7,11,10,13
87,54,29,87,81,32,68.0,46,48,74,74,57,65,59,87,56,74,78,88,88,22,92,85,39,51,45,81,89,85,7,8,13,12
86,63,33,77,65,45,59.0,60,31,67,57,67,69,53,80,57,78,91,71,91,49,88,89,28,50,50,83,89,88,3,3,2,3
86,65,57,88,82,61,73.0,66,53,86,79,47,64,61,88,62,71,70,66,86,49,71,89,57,80,68,89,90,86,15,6,10,6
86,85,73,70,85,60,83.0,80,63,79,85,87,86,90,80,85,64,80,87,61,66,75,81,83,78,59,80,78,80,13,15,13,13
86,78,68,54,90,82,90.0,85,77,89,92,72,55,91,84,90,75,80,74,59,73,72,82,75,85,75,88,71,68,6,11,7,13
86,62,67,68,87,44,80.0,66,68,85,86,40,43,67,86,50,61,66,78,72,54,81,85,77,83,60,90,82,81,5,8,13,13
86,86,83,61,92,72,81.0,88,90,90,86,52,49,63,80,72,81,49,78,70,88,58,81,82,89,88,85,70,69,5,9,12,8
86,77,76,59,87,74,90.0,87,86,84,93,90,84,89,79,93,76,50,74,34,82,34,26,81,89,87,81,24,22,8,4,14,10
86,30,22,84,63,14,65.0,28,28,63,64,74,87,51,83,34,55,82,70,94,15,83,85,35,52,33,82,88,86,7,11,7,5
86,42,46,86,78,42,65.0,46,52,76,78,79,85,62,84,39,52,81,76,86,53,80,85,55,59,43,83,88,87,11,11,9,14
86,81,81,48,83,76,90.0,85,78,75,91,84,79,92,81,88,79,56,75,57,79,48,39,80,84,70,84,31,22,15,9,13,6
86,77,89,82,81,81,84.0,75,62,75,85,80,78,77,89,70,83,76,79,75,83,61,42,87,78,85,78,41,41,15,12,7,10
86,69,90,79,74,84,80.0,68,60,60,82,85,85,76,91,76,87,80,76,66,67,87,49,92,76,85,88,52,54,15,14,7,11
86,75,63,75,84,47,78.0,71,53,82,81,65,68,64,86,64,81,75,88,81,70,85,87,70,75,90,84,87,85,13,12,6,8
86,86,68,72,85,62,84.0,84,69,78,85,86,84,80,85,78,80,72,90,62,75,73,80,80,83,46,85,82,80,6,9,15,14
86,58,45,84,82,40,69.0,61,69,80,78,59,67,57,87,60,68,80,72,84,47,81,87,54,65,44,84,87,86,10,11,5,5
86,79,75,61,80,77,88.0,83,70,74,88,94,93,91,85,84,80,73,69,64,73,35,23,85,81,70,78,27,21,5,3,5,5
86,85,77,51,86,70,91.0,84,67,76,90,83,77,94,84,92,76,51,93,54,76,70,54,83,84,68,87,63,45,9,10,14,9
86,74,81,67,86,64,82.0,73,58,83,84,86,90,82,86,69,84,69,90,79,79,83,82,87,86,64,83,80,74,13,6,6,15
86,63,64,78,85,59,78.0,65,54,83,82,60,62,65,80,65,83,72,87,82,76,76,83,75,81,46,83,84,78,10,10,7,8
86,40,42,81,72,40,69.0,34,30,49,72,76,84,54,86,56,50,84,79,86,30,84,86,30,46,56,87,88,82,10,13,12,12
85,83,77,38,85,72,87.0,85,79,80,86,91,83,93,86,93,79,70,75,44,82,56,40,80,86,72,85,30,34,8,11,12,6
85,60,40,81,80,61,72.0,62,61,80,79,52,54,67,82,66,71,88,68,82,65,76,88,59,71,60,86,86,84,9,12,5,10
85,83,72,53,90,82,87.0,82,77,83,90,70,57,84,85,89,72,61,66,45,73,56,50,86,90,75,91,53,29,6,15,7,12
85,68,89,88,75,86,76.0,76,74,52,81,64,68,68,90,57,87,88,81,77,77,81,54,93,75,85,85,48,39,12,5,13,10
85,77,78,61,85,82,88.0,83,79,81,88,86,82,87,79,89,82,55,77,61,77,54,41,83,84,87,89,27,22,11,12,6,8
85,44,48,83,81,58,72.0,56,60,81,79,60,68,59,82,53,74,90,65,86,65,82,86,38,71,70,86,85,81,2,2,3,4
85,78,80,50,88,75,86.0,86,80,85,89,66,65,77,86,77,79,61,74,73,81,70,78,82,86,80,87,75,67,11,14,5,13
85,85,84,44,85,85,85.0,88,85,79,86,76,71,83,86,82,86,68,67,66,83,51,49,85,86,76,85,38,54,12,12,13,11
85,77,51,74,79,57,78.0,76,71,77,81,89,94,66,85,69,86,83,86,80,69,84,80,68,69,63,75,84,83,12,6,16,8
85,76,89,73,77,83,80.0,81,76,64,81,87,91,77,86,67,82,75,79,74,78,43,48,90,77,83,87,29,36,6,9,15,9
85,85,72,61,86,56,81.0,85,76,84,83,72,69,73,88,82,83,59,93,75,80,79,83,83,86,67,86,81,70,14,12,5,13
85,83,84,83,84,86,87.0,86,85,82,89,80,80,92,89,83,82,90,86,63,83,73,49,89,85,79,90,54,49,14,8,14,14
85,49,25,84,75,27,70.0,45,16,71,75,69,74,61,85,59,65,79,80,79,60,77,87,31,70,41,85,87,85,8,10,7,13
85,73,78,78,84,83,89.0,81,65,76,90,77,77,85,86,86,79,81,87,74,76,75,58,82,83,72,88,64,42,8,11,9,10
85,84,83,65,81,74,84.0,85,83,76,85,81,83,80,83,81,87,69,79,83,83,72,28,85,85,76,80,31,20,8,14,6,10
85,82,51,72,83,49,80.0,76,47,74,83,79,80,79,83,81,68,77,89,74,47,84,81,75,74,45,81,82,84,13,13,15,15
85,75,64,56,92,71,81.0,75,76,89,87,61,50,77,82,72,71,58,87,66,62,79,81,69,88,91,81,81,71,14,7,13,8
85,74,86,42,82,83,86.0,74,62,78,83,90,77,87,86,88,87,65,78,68,82,63,38,86,83,68,80,44,43,14,10,10,7
85,64,80,86,85,74,81.0,80,78,85,86,66,70,62,83,63,83,85,91,87,80,79,78,79,82,56,84,79,74,7,10,7,7
85,53,50,72,78,68,74.0,60,60,75,77,65,68,69,88,66,80,90,90,78,70,87,90,67,67,57,80,90,85,13,14,7,13
85,82,84,60,83,74,84.0,77,71,73,85,83,81,83,81,80,80,72,82,57,81,52,29,85,85,84,83,32,30,10,6,10,11
85,56,85,87,78,88,85.0,78,43,73,85,86,83,86,89,89,80,88,80,84,74,86,45,86,81,74,83,31,44,11,8,8,13
85,80,83,68,80,73,84.0,83,76,71,84,86,93,84,84,75,92,74,86,75,81,73,42,83,81,84,80,38,33,11,6,15,14
85,86,73,68,81,60,83.0,68,55,73,83,95,95,86,84,79,77,80,91,73,70,75,78,78,75,46,80,78,76,10,8,14,8
85,52,50,85,75,45,69.0,48,55,63,73,71,75,60,84,62,82,93,75,93,66,83,81,44,45,40,82,85,85,12,11,11,10
84,72,86,83,80,88,79.0,80,75,73,86,64,66,71,83,53,88,79,52,87,88,84,20,89,84,83,90,37,24,13,15,10,12
84,85,65,73,83,75,83.0,82,46,79,83,90,84,82,84,84,74,63,82,39,70,75,80,81,83,56,82,77,79,10,10,15,13
84,57,65,84,80,57,68.0,58,43,80,80,50,64,57,85,35,62,74,63,86,51,79,85,64,72,69,87,85,83,10,11,14,8
84,73,84,40,84,70,88.0,82,82,72,88,90,80,93,80,92,80,58,66,37,81,59,36,82,84,79,81,40,40,7,10,8,4
84,72,75,78,87,73,86.0,78,73,81,88,78,76,84,86,88,78,81,93,74,73,75,80,79,79,74,86,80,70,16,6,14,6
84,82,73,65,85,71,79.0,80,74,87,83,67,66,69,85,68,77,78,86,78,75,83,81,78,80,64,82,81,76,7,13,7,13
84,62,54,74,84,56,74.0,65,53,79,78,65,67,70,83,62,76,76,82,81,68,85,85,59,76,54,78,85,83,7,5,9,5
84,86,54,79,81,58,77.0,86,82,80,82,74,73,73,81,77,75,78,87,64,70,73,80,76,80,66,77,81,80,11,14,8,10
84,80,89,77,80,83,86.0,79,83,73,86,78,86,90,84,72,79,66,69,60,81,63,39,84,81,82,85,21,18,12,16,9,13
84,80,60,74,85,67,80.0,77,85,80,84,78,77,76,88,77,82,81,75,76,78,74,85,73,78,79,85,83,82,5,7,14,9
84,69,77,49,92,76,84.0,86,79,90,91,61,59,69,74,83,78,53,75,64,76,29,59,76,92,56,78,58,52,6,8,6,11
84,86,83,66,87,80,85.0,85,79,80,87,67,70,76,83,84,79,59,88,80,77,56,41,85,88,86,86,34,26,11,11,14,16
84,74,88,74,82,84,87.0,82,76,66,87,83,81,91,86,91,84,78,75,69,74,62,44,90,80,85,85,33,26,6,13,9,7
84,88,60,71,81,68,80.0,83,83,73,84,81,77,74,83,78,83,94,86,69,76,76,82,73,75,60,81,83,84,6,12,9,13
84,82,85,58,86,83,86.0,85,83,77,88,76,74,83,80,73,88,34,65,74,89,58,46,85,87,78,80,32,26,13,13,8,6
84,51,48,87,78,47,70.0,48,46,84,76,47,53,50,84,41,75,85,82,90,52,84,86,61,70,44,85,83,78,14,16,9,9
84,35,34,84,73,27,58.0,34,28,72,67,60,67,59,83,45,43,86,53,83,31,86,87,29,55,37,80,86,83,14,13,14,12
84,74,81,60,84,82,80.0,76,78,81,82,75,81,75,86,80,88,71,85,76,88,77,66,83,83,72,80,70,59,11,13,14,13
84,85,44,78,82,56,80.0,83,54,69,82,76,81,75,82,77,70,83,80,79,54,84,79,78,81,44,83,83,79,10,12,13,7
84,81,77,36,85,72,88.0,78,74,82,88,81,79,85,79,84,76,36,80,61,80,60,44,81,85,58,88,49,43,11,6,11,13
84,68,55,84,79,53,66.0,44,42,78,75,54,69,55,86,49,74,77,75,84,46,74,84,55,72,67,71,89,79,12,10,6,10
84,45,39,83,73,44,62.0,32,30,69,64,55,66,66,81,52,46,89,68,90,41,89,85,34,50,47,75,85,82,9,11,14,7
84,81,81,53,79,70,85.0,81,79,73,85,89,88,87,80,73,85,71,80,61,82,65,43,80,77,81,79,47,35,9,11,9,10
84,91,75,59,80,70,83.0,79,80,75,82,89,88,76,82,79,85,67,90,77,78,80,63,79,81,64,80,72,68,13,14,12,13
84,88,73,52,86,74,83.0,90,78,89,85,79,77,85,84,78,83,35,79,58,77,73,52,82,89,67,79,56,40,11,7,11,14
84,84,77,43,88,79,88.0,85,82,82,87,84,67,88,86,90,79,53,79,50,80,52,83,79,85,44,86,79,78,12,6,8,8
84,82,66,67,82,59,82.0,78,52,77,83,82,83,79,83,82,74,75,84,69,64,79,79,77,76,61,81,84,83,16,12,15,11
84,69,81,76,79,84,82.0,70,58,55,84,93,89,82,87,76,85,75,83,65,77,63,37,88,68,78,79,20,19,9,9,8,9
84,72,69,70,85,65,79.0,79,74,84,84,70,68,79,76,84,80,70,94,67,84,85,81,70,80,69,82,81,80,8,8,15,8
84,82,74,67,89,78,80.0,81,78,88,85,67,59,67,83,77,87,66,81,69,86,68,74,80,87,73,86,73,69,6,8,10,12
84,47,37,83,70,30,59.0,36,44,67,66,70,69,52,78,40,72,90,60,86,48,88,84,24,46,38,76,87,86,9,11,7,15
84,79,83,49,84,77,87.0,83,79,78,87,88,79,82,79,91,84,64,79,81,84,79,34,82,83,74,89,42,30,15,9,8,15
84,83,81,72,81,85,85.0,83,82,64,84,91,89,84,79,79,87,64,68,70,78,63,34,84,82,71,80,32,35,8,12,9,14
84,69,69,53,86,75,86.0,75,67,79,87,80,76,91,89,90,69,78,95,69,72,79,84,83,83,73,85,75,79,11,5,13,11
84,87,66,58,82,68,87.0,88,75,78,88,77,76,83,83,90,82,63,90,80,81,84,79,81,82,76,87,84,82,8,14,13,14
84,60,87,86,79,84,83.0,76,33,63,85,77,71,77,86,75,83,88,79,76,78,75,59,87,74,90,84,40,21,14,13,7,8
84,66,67,68,83,60,80.0,58,48,75,84,76,79,72,81,79,84,72,94,86,78,84,84,74,76,89,84,84,78,9,11,12,10
84,84,68,74,78,66,81.0,69,64,68,79,92,94,78,84,75,80,68,90,79,72,82,78,80,74,50,80,79,80,12,10,7,7
84,72,81,78,84,80,84.0,84,53,78,85,77,86,78,83,75,74,75,77,69,77,42,38,82,81,73,84,46,38,6,8,11,12
84,75,79,47,84,59,87.0,73,59,78,88,86,82,90,83,91,82,49,79,44,77,64,59,82,84,64,82,59,47,8,15,6,13
83,68,66,71,83,70,78.0,68,71,81,81,67,52,69,86,77,83,84,66,75,76,86,85,70,66,61,81,85,80,12,11,5,7
83,78,85,67,81,82,84.0,84,71,66,85,81,80,80,83,83,76,66,69,70,84,57,37,84,81,72,83,22,14,8,14,8,10
83,69,71,84,90,77,79.0,71,68,83,81,60,61,71,85,70,75,78,76,82,71,75,83,73,79,76,90,80,80,5,7,7,7
83,50,55,81,76,37,59.0,52,69,72,70,63,71,57,79,53,78,81,65,82,41,82,85,31,55,61,69,85,81,6,10,13,15
83,63,85,83,77,77,78.0,65,54,78,86,64,67,62,80,55,86,64,74,86,78,58,50,90,74,67,86,28,16,9,11,13,15
83,69,34,83,77,52,67.0,53,31,83,71,63,80,55,85,52,78,74,60,87,58,83,83,47,78,46,84,84,84,7,12,15,5
83,64,45,81,77,38,67.0,63,59,81,75,55,60,54,85,62,78,81,76,77,58,79,85,52,62,58,86,87,84,16,6,14,14
83,80,46,77,79,51,72.0,68,58,80,77,69,63,67,86,73,68,83,77,70,60,87,84,62,72,66,78,85,84,13,9,10,5
83,67,83,85,82,75,81.0,66,75,76,83,73,71,72,82,85,83,92,91,82,80,81,80,83,82,71,81,79,75,16,16,11,8
83,81,79,43,85,68,87.0,84,78,74,87,84,78,91,80,94,72,72,77,49,77,66,45,81,84,61,82,55,38,10,5,5,12
83,81,79,50,84,67,82.0,85,84,87,83,85,82,83,83,79,78,38,80,71,84,68,77,85,89,80,80,71,58,15,12,16,12
83,84,55,76,81,68,79.0,78,59,71,80,78,83,78,80,77,78,79,83,77,72,80,76,70,70,60,80,80,80,7,7,9,5
83,27,25,80,65,16,62.0,30,10,61,66,77,84,70,81,60,40,91,69,83,12,86,86,25,22,26,83,85,87,8,6,8,12
83,77,80,68,83,79,83.0,81,66,71,83,86,85,84,82,83,84,66,88,69,77,69,60,84,84,72,82,53,55,5,11,14,7
83,84,70,67,81,70,87.0,80,69,69,85,91,89,94,82,81,84,80,78,66,80,78,73,75,72,65,74,80,83,5,5,13,9
83,54,36,84,77,50,68.0,63,22,74,72,50,65,51,84,42,66,75,69,81,48,84,86,48,72,42,80,86,81,11,15,10,10
83,17,55,82,74,48,63.0,39,19,72,70,65,70,37,77,31,50,57,80,94,30,84,82,49,60,72,79,86,85,16,13,15,13
83,25,37,82,75,39,64.0,62,56,79,72,64,62,32,85,35,75,70,87,85,60,77,86,20,65,72,85,87,85,11,9,9,11
83,72,73,56,83,56,82.0,68,49,80,82,77,68,78,84,86,73,64,92,70,69,89,78,77,77,53,85,87,82,13,13,5,8
83,78,86,76,81,85,80.0,79,80,74,80,76,70,75,85,83,87,77,90,87,84,80,45,86,82,72,86,50,33,8,7,9,12
83,72,84,86,78,80,81.0,78,44,60,83,79,85,72,80,63,80,84,77,80,72,69,24,87,77,75,79,14,20,4,5,4,5
83,47,87,85,76,85,77.0,76,52,54,80,70,68,68,84,75,85,91,67,73,71,58,22,91,72,82,83,24,20,13,9,5,9
83,84,60,69,78,59,80.0,66,41,64,80,94,91,80,82,69,68,69,81,66,68,71,80,77,72,59,69,77,75,11,13,12,14
83,62,52,84,83,44,74.0,52,37,75,83,67,73,61,82,59,55,83,77,78,44,80,83,52,67,52,80,85,82,7,15,11,8
83,73,84,85,81,82,81.0,75,51,75,82,63,80,75,82,65,84,74,82,84,74,81,53,84,78,92,81,38,30,7,11,13,10
83,68,32,81,76,34,64.0,35,56,73,69,64,84,56,82,50,72,84,69,88,44,92,81,39,59,40,72,86,82,14,15,10,8
83,79,86,77,80,81,83.0,80,65,72,84,80,82,79,85,61,84,80,91,81,80,82,72,84,79,79,82,61,55,11,8,15,7
83,73,61,42,90,76,88.0,79,70,82,89,77,65,87,81,84,79,75,79,63,75,77,74,72,84,59,81,73,66,9,5,6,7
83,74,66,68,87,56,81.0,69,70,85,83,63,74,75,82,50,86,83,83,84,78,84,81,70,85,49,86,84,80,11,13,9,7
83,80,61,58,81,58,80.0,80,49,75,82,81,85,82,84,78,62,53,87,66,59,76,80,76,75,52,76,82,84,13,10,9,9
83,83,75,54,83,76,86.0,85,81,76,86,84,80,88,81,82,79,69,76,55,77,63,66,80,83,68,79,59,63,11,15,13,14
83,66,65,65,83,60,76.0,70,74,80,80,58,61,65,82,64,84,65,88,78,79,87,82,65,73,51,82,84,72,9,7,12,11
83,75,85,69,82,80,87.0,82,65,66,87,86,85,90,84,87,83,49,82,71,86,79,48,84,84,55,76,53,44,13,10,9,16
83,44,88,83,74,79,78.0,55,62,47,82,78,81,67,82,58,86,80,75,93,64,72,20,86,66,70,82,24,22,9,9,8,8
83,76,87,69,81,85,86.0,79,78,63,86,76,67,84,84,86,84,72,76,68,85,73,21,86,74,91,83,20,26,8,14,14,15
83,88,70,65,81,63,84.0,83,76,81,84,85,73,83,82,85,80,73,85,60,69,77,80,79,79,55,81,74,80,13,6,13,13
83,78,53,82,74,46,71.0,59,39,63,76,77,77,70,85,68,62,86,76,77,51,88,83,62,63,42,76,85,86,10,7,8,10
83,81,77,57,81,79,83.0,84,76,80,86,83,81,80,78,75,86,58,76,63,83,45,45,80,81,62,82,42,39,13,9,6,10
83,42,87,92,76,83,70.0,40,37,43,79,59,66,62,85,44,86,79,83,89,74,85,34,88,67,71,83,67,30,11,9,14,12
83,82,79,82,80,71,79.0,69,58,77,82,79,84,71,86,66,76,88,89,76,68,80,77,86,60,50,77,78,79,7,16,15,10
83,77,79,81,84,58,82.0,80,69,82,84,73,75,76,84,72,84,81,84,79,78,81,84,78,83,58,80,84,76,9,12,9,14
83,59,31,80,80,33,70.0,50,32,75,78,80,81,69,80,60,70,79,81,87,37,90,84,47,64,57,80,86,84,7,8,14,9
83,78,63,72,80,50,79.0,72,35,78,78,91,92,81,82,78,69,79,89,83,64,82,79,80,75,49,78,81,80,7,16,9,9
83,73,46,51,76,43,79.0,74,45,58,76,82,88,84,83,72,70,67,81,72,46,78,84,70,66,44,76,87,92,9,8,6,8
83,83,74,64,83,76,84.0,86,78,82,83,90,87,86,84,71,82,69,88,68,78,62,40,82,83,77,81,35,33,12,12,13,13
83,79,59,51,88,69,88.0,83,60,85,90,71,67,85,84,90,76,69,79,66,74,70,76,74,80,69,88,73,71,6,13,13,12
83,66,84,77,77,77,86.0,76,54,66,86,87,82,91,86,87,82,79,79,69,76,73,32,87,77,75,79,30,28,13,8,6,15
83,81,75,43,78,76,86.0,82,64,76,84,94,93,89,78,80,83,58,68,51,76,54,36,77,76,75,80,30,33,6,6,14,13
83,82,79,59,86,75,83.0,81,83,83,85,77,71,80,84,76,81,54,86,54,82,68,59,81,83,60,84,57,41,11,12,13,12
83,73,79,50,78,80,85.0,78,52,72,82,91,91,87,83,81,86,53,85,71,84,69,30,81,75,62,78,44,44,6,7,8,7
83,66,69,59,85,70,79.0,70,66,84,82,82,90,76,84,68,80,62,86,79,81,81,81,76,80,59,82,80,76,6,10,6,8
83,45,47,79,80,32,72.0,42,26,75,74,81,81,71,85,74,48,88,76,79,40,75,86,47,62,43,82,85,83,11,10,8,13
83,73,79,69,80,81,86.0,82,64,67,87,81,83,86,83,79,80,73,75,64,80,68,38,84,82,68,84,42,35,13,12,14,14
82,46,46,81,73,23,61.0,44,47,75,60,79,81,62,81,48,63,89,82,86,56,94,78,40,48,57,80,82,81,8,15,5,10
82,38,27,77,74,31,63.0,53,45,72,71,48,34,49,82,53,65,76,51,80,53,81,86,30,64,37,75,87,85,8,6,5,8
82,84,77,59,85,81,78.0,88,82,86,82,59,56,69,80,59,84,33,74,71,76,67,79,79,84,82,80,77,72,14,11,12,9
82,86,82,84,80,85,80.0,91,87,79,83,80,83,78,78,64,90,84,61,76,87,64,53,82,79,76,85,53,50,15,15,11,6
82,80,71,55,84,65,82.0,83,81,87,84,63,61,76,82,80,77,49,74,67,81,83,79,75,85,79,80,77,74,13,8,7,10
82,80,56,60,84,72,81.0,86,92,82,83,67,64,74,83,80,78,59,79,60,80,70,78,68,84,79,84,77,71,7,7,13,8
82,83,61,74,80,63,76.0,80,55,72,79,81,84,80,80,78,82,86,85,79,76,85,82,62,71,59,78,80,76,12,13,9,11
82,74,84,65,85,85,81.0,77,75,79,84,63,59,70,84,79,85,72,75,72,83,74,60,85,84,83,83,62,55,7,10,13,12
82,81,78,59,85,72,82.0,77,78,84,83,82,74,87,78,86,80,76,84,60,82,60,52,81,78,70,79,59,55,12,10,15,12
82,78,75,48,80,78,88.0,90,86,77,89,74,65,89,80,92,82,58,74,52,86,59,49,80,82,70,79,54,47,12,7,9,6
82,86,73,52,89,80,81.0,89,87,90,90,63,62,72,79,81,84,49,59,52,85,46,56,74,86,67,87,57,22,9,14,7,6
82,80,60,76,84,66,79.0,84,62,85,84,48,43,72,83,72,74,76,76,72,64,67,87,66,83,54,84,84,80,12,9,10,10
82,82,75,47,85,85,84.0,81,72,82,88,69,67,76,82,83,75,58,75,71,68,59,66,79,86,79,87,42,53,14,7,12,10
82,79,66,71,82,74,85.0,82,67,71,84,86,81,91,84,87,66,71,88,39,63,73,76,79,83,68,87,74,72,11,6,10,9
82,68,83,75,79,79,82.0,74,74,70,82,77,73,81,82,82,87,76,66,75,78,73,42,82,75,79,80,45,32,11,6,9,6
82,60,54,69,80,32,78.0,60,66,76,79,70,69,79,81,82,80,86,85,69,68,83,86,69,68,55,79,87,83,8,6,8,13
82,75,56,72,82,58,78.0,66,39,71,79,79,84,79,80,61,71,84,87,75,60,77,76,76,73,53,76,81,83,12,13,14,12
82,78,76,55,81,67,88.0,88,76,80,90,70,62,81,75,90,69,60,59,59,78,58,61,77,81,74,83,64,51,10,8,12,6
82,76,78,47,76,67,87.0,64,51,65,86,88,90,87,76,79,82,58,75,77,72,72,32,76,76,72,80,34,32,15,10,15,10
82,71,84,69,80,78,86.0,79,78,55,83,87,90,85,84,88,81,60,73,72,84,50,16,83,78,89,82,24,22,8,10,10,6
82,81,73,65,84,66,82.0,85,78,82,85,70,66,74,80,80,76,61,82,71,76,63,71,76,86,69,83,75,62,8,11,6,10
82,67,42,81,80,48,65.0,57,46,74,69,68,67,66,81,63,61,83,81,82,50,87,87,51,65,51,69,83,82,15,6,15,7
82,69,69,59,85,72,79.0,69,71,80,82,84,72,76,79,81,83,74,85,79,80,84,77,69,74,85,82,81,77,9,10,11,9
